date,pattern
2023-05-03,110101
2023-05-04,100101
2023-05-05,100101
2023-05-06,110101
2023-05-07,110101
2023-05-08,110101
2023-05-09,100101
2023-05-10,100101
2023-05-11,110101
2023-05-12,110101
2023-05-13,110101
2023-05-14,100101
2023-05-15,110101
2023-05-16,110101
2023-05-17,110101
2023-05-18,110101
2023-05-19,110101
2023-05-20,110101
2023-05-21,110101
2023-05-22,100101
2023-05-23,110101
2023-05-24,110101
2023-05-25,110101
2023-05-26,110101
2023-05-27,110101
2023-05-28,110101
2023-05-29,110101
2023-05-30,110101
2023-05-31,100101
2023-06-02,110110
2023-06-03,110110
2023-06-04,110110
2023-06-05,110110
2023-06-06,110110
2023-06-07,110110
2023-06-08,110110
2023-06-09,110110
2023-06-10,110110
2023-06-11,110100
2023-06-12,110110
2023-06-13,110110
2023-06-14,110110
2023-06-15,110110
2023-06-16,110110
2023-06-17,110110
2023-06-18,110110
2023-06-19,110110
2023-06-20,110110
2023-06-21,110110
2023-06-22,110110
2023-06-23,110110
2023-06-24,110110
2023-06-25,110110
2023-06-26,110110
2023-06-27,110110
2023-06-28,110110
2023-06-29,110110
2023-06-30,010110
2023-07-01,010110
2023-07-02,010110
2023-07-03,010110
2023-07-04,010110
2023-07-05,010110
2023-07-06,010110
2023-07-08,110110
2023-07-09,110110
2023-07-11,110010
2023-07-12,110000
2023-07-14,110000
2023-07-15,110000
2023-07-16,110000
2023-07-17,110100
2023-07-19,110100
2023-07-20,110100
2023-07-21,110000
2023-07-22,110000
2023-07-24,110000
2023-07-25,110100
2023-07-26,110100
2023-07-27,110000
2023-07-28,110000
2023-07-29,110000
2023-07-30,110000
2023-07-31,110000
2023-08-01,110000
2023-08-02,110000
